Año,Región,Provincia,Comuna,Rubro,CIIU,Contaminante,Emision,Huso,latitud,longitud
"2,020",Valparaíso,Los Andes,Los Andes,Construcción,Construcción de proyectos de servicio público,Carbon monoxide,52.79,19,-32.82834998,-70.0928896
"2,020",Valparaíso,Los Andes,Los Andes,Construcción,Construcción de proyectos de servicio público,Carbon monoxide,52.79,19,-32.82834998,-70.0928896
"2,020",Valparaíso,Quillota,Calera,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,52.41,19,-32.78776875,-71.19486962
"2,020",Valparaíso,Valparaíso,Valparaíso,Otras actividades,Transporte de carga marítimo y de cabotaje,Carbon dioxide,52.32,19,-33.03924983,-71.62577104
"2,020",Valparaíso,Los Andes,Rinconada,Otras actividades,Actividades de juegos de azar y apuestas,Carbon dioxide,51.5,19,-32.92614836,-70.68082881
"2,020",Valparaíso,San Felipe de Aconcagua,Santa María,Otras actividades,Actividades de alojamiento para estancias cortas,Carbon dioxide,49.13,19,-32.6852577,-70.59456123
"2,020",Valparaíso,Quillota,Nogales,"Industria química, de plástico y caucho",Fabricación de otros productos de caucho,Carbon dioxide,48.79,19,-32.72064225,-71.20393369
"2,020",Valparaíso,Los Andes,Los Andes,Minería,Extracción y procesamiento de cobre,Carbon dioxide,48.75,19,-33.0955005,-70.25441905
"2,020",Valparaíso,Los Andes,Los Andes,Minería,Extracción y procesamiento de cobre,Carbon dioxide,48.75,19,-33.0955005,-70.25441905
"2,020",Valparaíso,Valparaíso,Valparaíso,Otras actividades,Transporte de carga por carretera,Carbon dioxide,48.53,19,-33.13636907,-71.55627918
"2,020",Valparaíso,Los Andes,Los Andes,Minería,Extracción y procesamiento de cobre,Nitrogen oxides (NOx),48.34,19,-32.92610542,-70.28726234
"2,020",Valparaíso,San Felipe de Aconcagua,Panquehue,Otras industrias manufactureras,Elaboración de vinos,Carbon dioxide,47.3,19,-32.79851512,-70.82736666
"2,020",Valparaíso,Quillota,Calera,"Producción de cemento, cal y yeso","Fabricación de cemento, cal y yeso",Carbon monoxide,47.21,19,-32.79028465,-71.20052585
"2,020",Valparaíso,Los Andes,San Esteban,Producción agropecuaria,Actividades de apoyo a la ganadería,Carbon dioxide,46.42,19,-32.7736401,-70.57370566
"2,020",Valparaíso,Valparaíso,Valparaíso,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,46.15,19,-33.1155993,-71.56746294
"2,020",Valparaíso,Valparaíso,Valparaíso,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,46.15,19,-33.1155993,-71.56746294
"2,020",Valparaíso,Marga Marga,Villa Alemana,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,46.15,19,-33.04580594,-71.39086896
"2,020",Valparaíso,Marga Marga,Villa Alemana,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,46.15,19,-33.04580594,-71.39086896
"2,020",Valparaíso,Valparaíso,Viña del Mar,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,46.15,19,-33.02752003,-71.55718702
"2,020",Valparaíso,Valparaíso,Viña del Mar,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,46.15,19,-32.98044345,-71.52977826
"2,020",Valparaíso,San Felipe de Aconcagua,Llaillay,Otras industrias manufactureras,Fabricación de vidrio y productos de vidrio,Carbon dioxide,45.82,19,-32.84819055,-70.94168992
"2,020",Valparaíso,Valparaíso,Puchuncaví,Termoeléctricas,"Generación, transmisión y distribución de energía eléctrica",Sulfur dioxide,45.65,19,-32.75255771,-71.47931608
"2,020",Valparaíso,Quillota,Calera,Pesca y acuicultura,Acuicultura marina,Carbon dioxide,45.46,19,-32.77836357,-71.18762513
"2,020",Valparaíso,San Felipe de Aconcagua,Putaendo,Otras actividades,Actividades de hospitales públicos y privados,Carbon dioxide,45.39,19,-32.62673964,-70.71434486
"2,020",Valparaíso,Valparaíso,Quintero,Otras industrias manufactureras,Fabricación de productos de hornos de coque,"PM, primary",44.68,19,-32.913078,-71.503159
"2,020",Valparaíso,San Felipe de Aconcagua,Panquehue,Otras industrias manufactureras,Elaboración de vinos,Carbon dioxide,43.91,19,-32.79851512,-70.82736666
"2,020",Valparaíso,Valparaíso,Casablanca,Otras industrias manufactureras,Elaboración de otros productos alimenticios n.c.p.,Carbon monoxide,43.86,19,-33.32979213,-71.39191957
"2,020",Valparaíso,Marga Marga,Quilpué,Otras industrias manufactureras,Elaboración de otros productos alimenticios n.c.p.,Carbon dioxide,43.33,19,-33.03917888,-71.4142424
"2,020",Valparaíso,Valparaíso,Viña del Mar,Otras actividades,Otras actividades de telecomunicaciones,Carbon dioxide,42.31,19,-35.67514497,-71.54296465
"2,020",Valparaíso,Valparaíso,Valparaíso,Otras actividades,Actividades de hospitales públicos y privados,Carbon dioxide,42.19,19,-33.0272073,-71.6430241
"2,020",Valparaíso,Valparaíso,Valparaíso,Otras actividades,Actividades de hospitales públicos y privados,Carbon dioxide,42.19,19,-33.0272073,-71.6430241
"2,020",Valparaíso,Los Andes,Los Andes,Otras actividades,Actividades de alojamiento para estancias cortas,Carbon dioxide,41.83,19,-32.8379394,-70.1293237
"2,020",Valparaíso,Marga Marga,Villa Alemana,Producción agropecuaria,Cría de aves de corral,Nitrogen oxides (NOx),40.98,19,-33.06376356,-71.32967179
"2,020",Valparaíso,Valparaíso,Valparaíso,Otras actividades,"Generación, transmisión y distribución de energía eléctrica",Carbon dioxide,40.52,19,-33.08694348,-71.62678872
"2,020",Valparaíso,Valparaíso,Quintero,"Industria química, de plástico y caucho",Fabricación de sustancias químicas básicas,Carbon dioxide,40.19,19,-32.77230673,-71.53330465
"2,020",Valparaíso,San Felipe de Aconcagua,Llaillay,Otras industrias manufactureras,Fabricación de vidrio y productos de vidrio,Carbon dioxide,39.97,19,-32.84819055,-70.94168992
"2,020",Valparaíso,San Felipe de Aconcagua,San Felipe,Comercio mayorista,Venta al por mayor a cambio de una retribución o por contrata,Carbon dioxide,39.57,19,-32.79233593,-70.70402955
"2,020",Valparaíso,Valparaíso,Concón,Refinería de petróleo,Fabricación de productos de la refinación del petróleo,Nitrogen oxides (NOx),39.29,19,-32.92439011,-71.50675531
"2,020",Valparaíso,Los Andes,Los Andes,Minería,Extracción y procesamiento de cobre,Carbon dioxide,39.27,19,-33.0955005,-70.25441905
"2,020",Valparaíso,Marga Marga,Quilpué,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,38.96,19,-33.04487566,-71.41620727
"2,020",Valparaíso,Marga Marga,Quilpué,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,38.96,19,-33.04487566,-71.41620727
"2,020",Valparaíso,Valparaíso,Viña del Mar,Otras actividades,Enseñanza superior en universidades,Carbon monoxide,38.96,19,-33.0356145,-71.48551622
"2,020",Valparaíso,Valparaíso,Viña del Mar,Otras actividades,Enseñanza superior en universidades,Carbon monoxide,38.96,19,-33.0356145,-71.48551622
"2,020",Valparaíso,Valparaíso,Valparaíso,Otras actividades,Actividades de alojamiento para estancias cortas,Carbon dioxide,38.81,19,-33.04377563,-71.61979255
"2,020",Valparaíso,Valparaíso,Concón,Otras actividades,Fabricación de gas; distribución de combustibles gaseosos por tuberías,Carbon dioxide,38.5,19,-32.92553778,-71.50438208
"2,020",Valparaíso,Los Andes,Los Andes,Minería,Extracción y procesamiento de cobre,Carbon dioxide,38.44,19,-33.0955005,-70.25441905
"2,020",Valparaíso,San Felipe de Aconcagua,San Felipe,Otras actividades,Actividades de hospitales públicos y privados,Carbon dioxide,38.03,19,-32.75895523,-70.72586185
"2,020",Valparaíso,San Felipe de Aconcagua,San Felipe,Otras actividades,Actividades de hospitales públicos y privados,Carbon dioxide,38.03,19,-32.75895523,-70.72586185
"2,020",Valparaíso,Valparaíso,Valparaíso,Otras actividades,Actividades de alojamiento para estancias cortas,Carbon dioxide,37.9,19,-33.04377563,-71.61979255
"2,020",Valparaíso,Los Andes,Los Andes,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,37.71,19,-32.83597522,-70.60400238
"2,020",Valparaíso,Los Andes,Los Andes,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,37.71,19,-32.83597522,-70.60400238
"2,020",Valparaíso,Los Andes,Los Andes,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,37.71,19,-32.83597522,-70.60400238
"2,020",Valparaíso,Marga Marga,Quilpué,Industria de la madera y silvicultura,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables",Carbon dioxide,37.64,19,-33.03638619,-71.41271026
"2,020",Valparaíso,Valparaíso,Valparaíso,Otras actividades,Transporte de carga marítimo y de cabotaje,Carbon dioxide,37.64,19,-33.03924983,-71.62577104
"2,020",Valparaíso,Los Andes,Los Andes,Minería,Extracción y procesamiento de cobre,Nitrogen oxides (NOx),37.59,19,-32.92610542,-70.28726234
"2,020",Valparaíso,Los Andes,Los Andes,Construcción,Construcción de proyectos de servicio público,Nitrogen oxides (NOx),37.35,19,-32.82834998,-70.0928896
"2,020",Valparaíso,Marga Marga,Quilpué,Otras actividades,Actividades de hospitales públicos y privados,Carbon dioxide,37.02,19,-33.05125254,-71.43326662
"2,020",Valparaíso,Marga Marga,Quilpué,Otras actividades,Actividades de hospitales públicos y privados,Carbon dioxide,37.02,19,-33.05125254,-71.43326662
